Context,Behavior,Definition,Detail Page URL
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Ear-Folding (13),"Forcing the lower half of ear under and back so that a prominent horizontal ridge or fold appears across the ear. In an Aggressive or Attacking context it may be used by male and female adults, adolescents, juveniles and calves in combination with a variety of other threats such as Head-High, Look-At, Advance-Toward, Charge, etc. to emphasize that an elephant “means business.”Ear-Folding can be either a short or a persistent display, the later indicating a ""foul mood"" or ""testiness"". Ear-Folding that is used in association with Head-Raising, Ear-Lifting or Rapid-Ear-Flapping is part of an Affiliative or Coalition Building display exhibited by adult, adolescent and juvenile females.References:Poole 1982: 86, illustration 6.1; Poole, 1987a; Moss 1988; Poole 1989a; Poole 1996: 75, 77, 128, 133; Poole & Granli 2003; Poole & Granli 2011; O’Connell-Rodwell et al 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=73&cvid=MTQyLDE0MywxNDQsMTQ1LDE0NiwxNDcsMTMzMiwxMzMzLDE3MDMsMTk2MCwxOTYxLDE5NjIsMTk2Mw==
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Ear-Slap (9),"Slapping the ears loudly and sharply against the neck and shoulders. In a Movement Space and Leadership and Avoidance context this gestures is typically made by an older female, often the matriarch, who appears to use it to call attention to her location and (changing) activity or movement. In Aggressive, Coalition Building or Attacking & Mobbing contexts, it is used in association with Ear-Folding as an elephant Advances-Toward its adversary.References:Poole & Granli 2003; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=76&cvid=MTAzNiwxMDM3LDEzMzUsMTYzMCwyMDYyLDIwNjMsMjA2NCwyNzMxLDI3MzI=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Ear-Spreading (0),"Standing or moving with the ears fully extended at ~90 degrees from body. An elephant normally holds its ears in a relaxed position such that they rest approximately 10-30 cm from the side of the body. In this relaxed position the ears do not appear stiff or tense, lifted, spread, or pressed against the body.Elephants may Ear-Spread when facing an opponent, predator or presumed threat, presumably for the purpose of appearing larger. Elephants may also spread their ears when they are Listening, surprised, alarmed or otherwise aroused. All age sex groups engage in Ear-Spreading.References:Kühme 1961; Douglas-Hamilton 1972: ch 6; McKay 1973; Poole & Granli 2003; Poole & Granli 2011; O’Connell-Rodwell et al 2011 [Ear-Extension, Ears held out]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=77&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Ear-Wave (0),"A musth male swings the upper portion of the ear stiffly and vigorously forward and backward. The speed and forcefulness of the swinging causes the lower, unsupported portion of the pinnae to flap even further forward and backward and upward. The motion creates a wave appearance across the ear. Ear-Waving is typically associated with Musth-Rumbling and may serve to waft scent of Musth-Temporal-Gland-Secretion toward other elephants.References:Poole 1982: 86; Poole 1987a: 294 drawing; Poole 1996: 122; Kahl & Armstrong 2002: 162 photo; Poole & Granli 2003; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=78&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Foot-Scuffing (0),"An individual taking short, shallow steps and purposefully dragging or scuffing the soles of the feet on the ground to create sound. Foot-Scuffing is often used by musth males at close range. Together with visual, vocal and chemical signals, the approaching scuffing steps adds to the male’s ominous display. In a Social Play context, Foot-Scuffing may be employed by Charging youngsters. In an Attacking & Mobbing context Foot-Scuffing may be employed by Charging adults, again for the audible effect.References:Poole & Granli 2021. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=105&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Forward-Trunk-Swing (2),"A swinging or tossing of the trunk in the direction of an adversary typically while simultaneously blowing forcefully out through the trunk. Elephants may swing their trunks at other elephants or at smaller animals (e.g. egrets; ground-hornbills; warthogs, people) as a threat, to chase them away, or in play. Forward-Trunk-Swing may be employed by all age sex groups.References:Kühme 1961; Douglas-Hamilton 1972: ch 6 [Forward-Trunk-Swish], 100; Poole 1987a; Poole & Granli 2003; Poole & Granli 2004, Poole & Granli 2011; O’Connell-Rodwell et al 2011 [Trunk throw]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=108&cvid=MTM5OSwyMTQ2
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Head-High (3),"Standing or moving with head held well above shoulders, chin tucked in (Chin-In), so that the elephant looks squarely at its adversary with ears and tusks held more perpendicular to the ground. Typically, the ears are maximally forward (Ear-Spreading). This posture is used primarily to threaten other elephants, particularly by males in musth.References:Eisenberg, McKay & Jainudeen 1971; Poole 1982: 77 & illustration 4.7, Moss 1983; Poole 1987a; Poole 1987b; Poole 1987c; Poole 1988; Poole 1992; Poole 1996: 75, 77; Poole 1997; Poole & Granli 2003; O’Connell-Rodwell et al 2011 [Head held up]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=119&cvid=MjE1NywyNzA1LDI3MDQ=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Head-Shaking (2),"An abrupt shaking of the head, which causes the ears to flap sharply and dust to fly. Head-Shaking usually starts by the elephant twisting the head to one side and then rapidly rotating it from side to side. The ears slap against the side of the face or neck making a loud smacking sound.Head-Shaking occurs in a broad range of contexts. It can be a sign of an individual's annoyance with or disapproval of an individual or circumstance. It can be used as a threat to other elephants or in confrontations with predators, as well as in play in feign annoyance. It also occurs during intense social events such as Greeting-Ceremonies or the arrival of an awaited individual.Head-Shaking may also occur after a longish period of contemplation - as if the individual has considered something and the Head-Shake is an outward expression of those feelings. Head-Shaking also typically follows a bout of mud-splashing or mud wallowing.This behavior is observed in all age/sex groups except during Affiliative bonding behavior in which it is limited to female adults, adolescents, juveniles and calves.References:Douglas-Hamilton 1972: ch 6; Eltringham 1982; Poole 1987a; Moss 1988; Moss 1992: 129; Payne & Langbauer 1992; Poole 1996: 147; Langbauer 2000; Poole & Granli 2003. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=123&cvid=MzY2LDIxNjI=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Head-Swipe (5),"A sharp and sudden swinging or tossing of the head and tusks down, up and sideways, to threaten or hit an elephant by its side who is either too close or doing something that displeases the elephant. Often seen in competition over resources such as an older calf Begging for food or attempting Food-Stealing from its mother, or other, or at a salt lick or small water hole. (Previously referred to Head-Swinging a term now used for a different behavior.References:Poole & Granli 2003 [Head-Swing]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=125&cvid=NzExLDcxMiw3MTMsNzE0LDIxODA=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Kick-Dust (0),"An individual Advancing-Toward or Charging in the direction of an offending object (elephant, other animal, predator, human being) and at the end of the movement appears to ‘stub its toe’ and kicks up a cloud of dust in the direction of its antagonist. The elephant usually Stands-Tall and towers over its adversary. Occurs in all age/sex groups and may occur in a playful context.References:Douglas-Hamilton 1972; Poole 1996: 77; Kahl & Armstrong 2000; Poole & Granli 2003; Poole & Granli 2004; Poole & Granli 2011; O’Connell-Rodwell et al 2011 [Foot toss]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=133&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Lean (1),One elephant presses all or part of its body against another.References:O’Connell-Rodwell et al 2011. (Full reference list),https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=338&cvid=Mjg1Mw==
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Look-At (0),"An obvious opening of the eyes to look, attentively, in the direction of interest. An elephant’s eyes are normally cast downwards. Observed in all age/se classes.References:Kahl & Armstrong 2000; Poole & Granli 2003; Poole & Granli 2011 [Eyes-Open]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=150&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Look-Back (0),"Standing or walking away while looking back over the shoulder. As an elephant Looks-Back it may flatten an ear against its body and turn its head in order to see what is behind it. This behavior is observed in numerous contexts.In Aggressive contexts by dominant individual Look-Back is a threat (as in ‘Watch it - I can see you!’). In a Submissive context a subordinate individual typically Looks-Back when retreating from an aggressive elephant.In Vigilance and Avoidance contexts, similarly, by high ranking elephant engaged in Rear-Guard (‘Watch out, I have my eye on you!’) or by retreating fearful elephants to monitor the location of a perceived threat. In a Calf Protection and Reassurance context during the Shepherding and Guiding of infants, mothers and allomothers Look-Back to see whether an infant is following or needs care or assistance. In a Courtship context an estrus female will Look-Back to monitor the presence, proximity and activity of pursuing or Guarding males. In a Space Movement and Leadership context individuals Look-Back when Waiting for or Guiding others, to see whether they are following. For example, Look-Back may be observed during the Let’s-Go-Stance.References:Douglas-Hamilton 1972: ch 6, 139; Poole 1996: 41; Poole 1987a; Poole 1989a; Poole 1999a; Kahl & Armstrong 2000; Poole & Granli 2003; Poole & Granli 2004; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=151&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Lunge (5),"A sudden forward thrust of the body and tusks, often with the trunk outstretched, to attack another. May be observed in Social Play, Aggressive and Attacking and Mobbing contexts. In the two former contexts all age/sex groups may be observed to Lunge at another elephant. In Attacking and Mobbing such behavior in the wild is likely limited to adult male and female elephants.References:O’Connell-Rodwell et al 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=152&cvid=MTYzOCwxNjM5LDE2NDAsMTgxOSwyNzM5
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Musth-Rumble (1),"A moderately long (~4-5 seconds in duration), very low frequency, distinctive rumble with a characteristically pulsating ‘put-put-put’ or ‘glug-glug-glug’ quality, only produced by an adult male during his heightened sexual and aggressive period of musth. Known as a Musth-Rumble, this call is associated with an increase in the rate of Urine-Dribbling and a particular ear flapping known as Ear-Waving. The calls of individual males are distinctive. Some males Musth-Rumbles are of short duration, while those of others are very long; some have a rolling quality while others are more pulsated, or may sound like water gurgling through a deep tunnel. The ‘classic’ Musth-Rumble is a long, low, pulsated, tonal call with considerable overlaying noise.Male elephants tend to Musth-Rumble in specific contexts such as: During aggressive interactions with other males; when approaching a group of females; prior to and immediately after a Mating; when they Rub a tree with Temporal-Gland-Secretion, when Drinking, Mud-Splashing, or Mud-Wallowing, or in situations where they feel challenged. For example, the sound of another musth male, an approaching vehicle or even an airplane overhead is often enough to trigger a musth male to Musth-Rumble. Musth males also frequently Musth-Rumble before or after Listening, when they are presumably responding to distant elephant calls or using calling to search for potential mates.Musth males most often Musth-Rumble when they are alone, less often when they are in the company of females and least often when they are Guarding an estrous female. Since musth males often Listen after they Musth-Rumble, it is likely that they use Musth-Rumbles to advertize their heightened aggressive and sexual state to rival males and to potential mates. Females respond to the Musth-Rumbles of musth males by Female-Chorusing, so calling may help a male to locate groups of females. Once a male has located an estrous female he may have neither the need nor the desire to advertise his whereabouts.References:Poole 1982: 50, 51; Poole 1987; Poole et al 1988; Poole 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=159&cvid=Mjc0OQ==
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Musth-Trunk-Wrinkle (0),A small dent or ''wrinkle'' in the trunk in an unexpected location based on the curve of the trunk. Musth-Trunk-Wrinkles are typically seen on the trunks of male in musth. We are not able to say whether the Musth-Trunk-Wrinkle has any function or why it may occur during musth.References:Kahl & Armstrong 2002. (Full reference list),https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=328&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Open-Mouth (1),"Opening the mouth. Covered by the trunk the mouths of elephants are not very obvious sources of visual displays, but during excited vocal interactions elephants open their mouths wide, often holding their trunks curved upward, exposing the mouth. During many social interactions elephants become highly aroused, opening their mouths to Rumble, Roar or scream at very high sound pressure levels. Typically, Open-Mouth indicates vocalization, but Open-Mouth is also observed during Sparring when elephants raise their trunks over the heads. Open-Mouth may also be observed during aggressive interactions, when an elephant, often an adult female, may hold her mouth open as she aggressively follows another. It is possible that she is producing a very low frequency vocalization, but often the mouth is held open for a longer time than would be typical of a Rumble.All age/sex groups may be observed displaying Open-Mouth, but it is much more common among female elephants than among males. Males might be observed exhibiting Open-Mouth when Roaring in protest in a Submissive context, while females show Open-Mouth in Affiliative, Aggressive, Movement Space & Leadership, Coalition Building, Birth, Advertisement & Attraction and Submission contexts. Infants and calves will exhibit Open-Mouth in a Calf Protection and Reassurance context.References:Poole et al 1988; Poole 1996: 275; Poole & Granli 2003; Poole & Granli 2011 [Mouth-Opening]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=168&cvid=Mjc2MQ==
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Orient-Toward (2),"Reorientation of the body to face or look at another elephant, animal or object of interest. Displayed by all age/sex groups.References:Poole 1982; Kahl & Armstrong 2000; Poole & Granli 2003; Poole & Granli 2011 [Turn-Toward]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=171&cvid=MTE2OSwxMTcw
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Prolonged-Pursuit (4),"A persistent, prolonged and aggressive follow at a fast walk or run by one individual (usually in musth) after another (usually in musth). A pursuit often follows an escalated contest; when one male has signaled defeat by fleeing the victor initially Runs-After and then Pursues the defeated male for up to several kilometers. An elephant may also engage in Prolonged-Pursuit when seeing off vehicles.References:Poole & Granli 2003; Poole & Granli 2011 [Pursuit]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=340&cvid=MTY4OCwxOTM3LDE5MzgsMTkzOQ==
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Purposeful-Walk (0),"An elephant walking with long strides in a directed, intentional manner as if he or she has a goal in mind. The normal gait of an elephant is a slow ambling, sometimes meandering walk. Instead, this manner of walking is purposeful and is observed in situations where elephants have a particular destination (e.g. Group-March), or when they appear to be trying to draw attention to themselves to advertise their sexual state or condition (e.g. Estrous-Walk, Musth-Walk, Parallel-Walk) or in an act of leadership (for example during Guiding, Perpendicular-Walk). In this latter context one may observe sweeping motions of the trunk - Trunk-Sweep for added visual impact.Different age sex classes may be observed engaging in Purposeful-Walking depending upon the context: Musth males and estrous females in an Advertisement & Attraction context, adult males and females in Aggressive and Attacking & Mobbing contexts; adult females - as leaders - in Coalition Building, Movement Space & Leadership and Calf Protection & Reassurance contexts.References:Poole & Granli 2021. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=190&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Pushing (9),"Pushing the head or base of trunk into the back, side, head or trunk of another to move it away or along or to assist it. Pushing comes in different forms and may be rough in aggressive contexts or very gentle in a situation where an elephant is attempting to help, herd or shepherd a family member.All age/sex groups may be observed to Push in an Aggressive context; while adult, adolescent and juvenile females may Push in a Calf Reassurance & Protection context; and adult females in a Movement Space & Leadership context. Social Play context Pushing is most likely to involve males of all ages.References:Lee 1986; Moss 1988; Langbauer 2000; Poole & Granli 2003; Poole & Granli 2004; Poole & Granli 2011; O’Connell-Rodwell et al 2011 [including Herding-Push]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=191&cvid=NDE5LDQyMCw0MjEsNDIyLDQyMyw0MjQsMTY2MSwyMDk1LDI3NzY=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Ramming (2),"Rushing at another with head lowered and trunk curved under (to expose tusks) and goring or poking it with the tusks. This is a serious attack with intent to harm. Elephants may receive serious wounds and or die from such attacks. While Ramming in an Aggressive context most often involves adult males, females also engage in Ramming. A female was seen with a broken off female tusk sticking out of the side of her body. In a Social Play context Ramming is most likely to be instigated by immature and young adult males. Adult males and females may Ram vehicles.References:Douglas-Hamilton 1972: 130; Kahl & Armstrong 2000; Poole & Granli 2003; Poole & Granli 2004; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=192&cvid=MTI5MCwxMjkx
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Reaching-High (0),"At the end of a Run-After or a Charge when the attacker slows his or her pursuit, he or she may extend the trunk upward and outward toward the opponent or threat. This is a common display following a Run-After by a high-ranking male toward lower ranking male, often in association with an estrous female; a signal of triumph, as in ‘I’ve seen him off!’ It is also used by males during Dueling when males rush together, but stop short of Ramming one another.Reaching-High is also a common behavior following a Charge, Bow-Neck-Charge or Group-Charge by an adult female. All age/sex groups except infants may engage in Reaching-High in an Aggressive context; in an Attacking & Mobbing context it tends to be observed in adults of both sexes.References:Jainudeen et al 1972; Poole 1987b; Poole 1987c; Poole & Granli 2003; Poole & Granli 2011; Kahl & Armstrong 2000 [also includes Trunk-Blocking & Trunk-Out-Stretched]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=196&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Rest-Head (0),"An elephant resting his or her head on another. Rest-Head often occurs during play when one elephant rests his or her head on the back or flank of another. It is also often observed in a resting group when one elephant rests his or her head on a nearby elephant. In Courtship a male may Rest-Head on an estrous female as a prelude to Mounting. On rarer occasions a female may Rest-Head on another female in a display of dominance. On several occasions we have observed this behavior in the presence of a newborn infant, sometimes during an attempted kidnapping, when a dominant female places her head on the back of a younger mother.References:Poole & Granli 2003; Goldenberg and Wittemyer 2018 [Rest-Chin]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=337&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Rumble (0),"A highly variable class or type of tonal vocalisations that is characterised by calls with very low fundamental frequencies. Rumbles are the most frequently heard call type in the repertoire of all age/sex classes of African savannah elephants and are easily distinguished from other types by their very low frequencies and clear harmonic structure. Fundamental frequencies range from 8-34 Hz depending upon the callers age, body size, arousal level and call context.Some rumbles are highly modulated, powerful sounds; others rise or fall in pitch; some rumble contours are flat, some undulating, and still others are jittery. Rumbles range in duration from less than half a second to almost 12 seconds and may be emitted as a soft fluttering whisper or an explosive throaty resonance with sound pressure levels up to 103 dB extrapolated to 5 m from source.References:Douglas-Hamilton 1972: ch 6 [Growl]; Berg 1983 [Growl]; Payne et al 1986; Leong et al 2003; Poole et al 1988; Stoeger-Horwath et al 2007; Poole 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=330&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Run-After (4),"Moving at a fast amble, or ‘run’ after another elephant. Elephants may Run-After one another in Aggressive, Social Play and Courtship contexts. The appearance of head, ears and tails differ in the different contexts. In an Aggressive context all age/sex groups except infants may be observed to Run-After; in a Social Play context all age/sex groups, though typically younger individuals and more often male may be observed to Run-After; in a Courtship context an adult male may Run-After an estrous female.References:Poole 1982; Lee 1986; Poole 1987a; Poole 1989a; Poole & Granli 2003; Poole & Granli 2004; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=222&cvid=MTUzMSwyMjYxLDI3ODUsMjc4Ng==
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Sashay (0),"An elephant taking exaggerated sideways steps, to manoeuvre rapidly into a new position that is immediately to the elephant’s left or right. This movement is classically seen by adult males (usually in musth) during Duelling or Escalated-Contests where a male tries to manoeuvre himself into a better position. It may similarly be observed among males during Sparring.Further, Sashaying may be observed among adult, adolescent and juvenile females as members of a family jockey for a better position during Affiliative behavior such as a Bonding-Ceremony, or by an adult female - or male - during Attacking or Mobbing behavior.References:Poole & Granli 2021. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=224&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Slap (1),Flinging the trunk toward and audibly hitting another elephant.References:Lee 1986; Kahl & Armstrong 2000; Poole & Granli 2003. (Full reference list),https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=239&cvid=Mjc5NA==
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Supplant (1),"A passive, or non-aggressive, approaching and displacing of another individual, typically, though not necessarily, over a resource.References:Poole & Granli 2021. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=259&cvid=MjI5MA==
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Threat-Rumble (0),"A medium-long slightly undulating Rumble produced by adult females when aggressively Advancing-Toward other elephants. The Rumble is associated with Ear-Folding, pronounced Ear-Flapping with audible Ear-Slaps, and is typically given toward adult females or teenage males from other families. A female seriously threatening another elephant stretches her head forward and outward in a Bow-Neck, as she Advances-Toward or Runs-After her opponent. The audible Ear-Slaps are often visible on the spectrogram.References:Poole 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=405&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Throw-Debris (0),"Grasping and lifting or uprooting vegetation, a rock or other object with the distal portion of the trunk and using movement of the entire trunk to throw or fling (underhand) the object in the direction of an opponent or predator. This behavior may also be observed in Social Play. An elephant's aim can be very accurate even at some distance. All age/sex groups except infants may be observed to Throw-Debris.References:Kühme 1961; Douglas-Hamilton 1972: ch 6; Poole 1982: 51; Poole 1987a, Poole 1987c; Moss 1988; Poole 1996: 139, 148, 154, 157, 171; Kahl & Armstrong 2000; Poole & Granli 2003; Poole & Granli 2004; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=266&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Trumpet-Blast (1),"A powerful, relatively long and seemingly sustained, Trumpet lasting 1-1.5 seconds in duration produced when an elephant or group of elephants confronts a predator, or other perceived threat. An individual may Advance-Toward or Charge while Trumpeting. Referred to as a Trumpet-Blast these calls are intended to intimidate, and, typically, Charges that are associated with them end abruptly. Yet, in our experience, it is wise not to assume that a Trumpeting and Charging elephant will not make good her threat.Cavorting elephants Charging at or Running-After other species during Social Play (such as rabbits, hyenas, wildebeests, monkeys, or the human observer) typically Trumpet-Blast, too. While such Trumpets produced in the two contexts are similar, those produced when confronting a serious threat are more powerful and it is certainly possible to hear a difference between the two contexts. We previously called those produced during play Mock-Charge-Play-Trumpets (Poole, 2011).References:Poole & Granli 2004; Poole 2011 [including Mock-Charge-Play-Trumpet]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=271&cvid=MjEyMQ==
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Trunk-Bounce-Drag (1),"An elephant dragging and occasionally slightly bouncing the distal and outer portion of a curled trunk on the ground making a rasping sound; often leaves a continuous or intermittent snake-like mark on the ground. Musth males, particularly, may drag and bounce their trunks along the ground for long distances (3 kilometers has been observed) when Walking or Tracking another elephant; musth males and elephants of both sexes may drag their trunks on the ground as a threat at very close range.References:Kahl & Armstrong 2002; Poole & Granli 2003; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=273&cvid=MTQzMQ==
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Trunk-Dragging (0),"An elephant dragging the distal and outer portion of a curled trunk on the ground making a rasping sound; often leaves a continuous or intermittent snake-like mark on the ground. Musth males, particularly, may drag their trunks along the ground for long distances (3 kilometers has been observed) when Walking or Tracking another elephant; musth males and elephants of both sexes may drag their trunks on the ground as a threat at very close range.References:Kahl & Armstrong 2002; Poole & Granli 2003; Poole & Granli 2011 [Trunk-Bounce-Drag]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=324&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Trunk-Push-Down (0),Placing the trunk over the head of an opponent and pushing down. This behavior is observed during Social Play and in Escalated-Contests and is a common tactic in Sparring matches. It tends to be performed by males of all ages.References:Poole & Granli 2021. (Full reference list),https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=277&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Tusk-Clank (5),"During Sparring, Dueling, Greeting or during the formation of Coalitions, such as High-Fiving or End-Zone-Dance, elephants may click or clank their tusks together. In affiliative and coalition building contexts this has been referred to as Tusk-Clicking, but the sound is much more of a clank during Sparring or Dueling. In the former two or more closely allied elephants may stand either parallel or face-to-face, adopting Head-Raising, Open-Mouth-to-Open-Mouth, and Trunk-Twining may (apparently purposefully) click their tusks together.This form of Tusk-Clicking or Clanking occurs during intense social interactions such as High-Fiving, Bonding-Ceremonies or during interactions in which an elephant wishes to express solidarity with a friend or family member such as during a Greeting, Coalition Building or an End-Zone-Dance. In this context the participants are adult or adolescent females. Tusk-Clanking also occurs during Sparring when two males, or a male and a female, stand face to face, also Head-Raising, Open-Mouth-to-Open-Mouth, and Trunk-Twining, their tusks clicking together. Further, elephants will clank their tusks together as weapons as they Duel.References:Douglas-Hamilton 1972: ch 6; Moss 1988; Payne 2003; Poole & Granli 2003; Poole & Granli 2011. [Trunk-Clicking] (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=289&cvid=MTYyMCwxNjIxLDE2MjIsMTkwOSwyODU1
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Tusk-Ground (0),"Bending or kneeling down and tusking the ground and, often, uplifting clods of soil and vegetation. When elephants engage in Mud-Wallowing they often Tusk-Ground. This is particularly true of Mud-Wallowing musth males who will engage in an exaggerated form of Tusk-Ground along with other components of a musth male display. In an Aggressive context Tusk-Ground is seen in the manoeuvring between two males during an Escalated-Contest, apparently as a demonstration of ‘look what I will do with you’.In an Attacking & Mobbing context an elephant may Kneel-Down and Tusk a person or other animal into the ground to kill or maim it. During Social Play elephants engage in a gentle form of both Kneel-Down and Tusk-Ground, behaviors that encourage other elephants to Climb-Upon.References:Kühme 1961; Poole 1982: 51, 57; Moss 1988; Poole 1987a; Poole 1987c; Poole 1996: 159; Poole & Granli 2003; Poole & Granli 2004; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=290&cvid=
"AggressiveBehaviors employed to intimidate, threaten or attack other elephants.",Tusking (3),"Poking another elephant with the tip of the tusks. This is a ‘less polite’ form of Pushing another elephant. In Aggressive contexts Tusking can be used with the intention to cause bodily harm, as during Dueling, or to show displeasure or encourage another to move. In a Playful context Tusking is more gentle. All age/sex group use Tusking except infants and young calves, who do not have tusks, or, likewise, tuskless individuals.References:Douglas-Hamilton 1972: ch 6; Lee 1986; Poole 1987a; Poole 1989a; Kahl & Armstrong 2000; Poole & Granli 2003; Poole & Granli 2004; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=291&cvid=MTE1OSwxMTYwLDIzMDY=
"AmbivalentBehaviors engaged in when an individual has simultaneous tendencies to perform two incompatible activities, such as fight or flight.",Adorn-Body (0),"Using the trunk to place or throw vegetation or an object onto the top of the head, neck or back. In some instances such ""adornment"" may be a consequence of foraging, for instance if an elephant submerges in a swamp and comes up under a clump of vegetation, it may end up lodged on its head or back. In other cases, the adornment is clearly purposeful as the elephant is seen to place the object on its body and work to keep it in position with its ears or trunk, and may replace it if it falls off.References:Poole & Granli 2021. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=387&cvid=
